ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
92,การพิมพ์สมการต้องมีเลขที่กำกับไว้ตำแหน่งใด?,ชิดขอบด้านขวา พิมพ์ด้วยตัวอักษรธรรมดา,"สมการ, เลขสมการ, ขอบขวา","เลขที่สมการ, สูตร",บทที่ 3 หน้า 21
93,การอ้างอิงในเนื้อหาวิทยานิพนธ์ใช้ระบบใด?,ระบบนาม-ปี,"อ้างอิงเนื้อหา, นาม-ปี","อ้างอิงนามปี, การอ้างอิง",บทที่ 3 หน้า 22
94,การอ้างอิงเอกสารภาษาไทยในเนื้อหาต้องใส่ชื่อสกุลหรือไม่?,ไม่ต้อง ใส่เฉพาะชื่อต้น,"อ้างอิงไทย, นามสกุล, ชื่อต้น","อ้างอิงนามสกุล, ใส่แต่นามสกุล",บทที่ 3 หน้า 22
95,การอ้างอิงเอกสารภาษาต่างประเทศในเนื้อหาต้องใช้ชื่อส่วนใด?,ชื่อสกุลเท่านั้นเป็นภาษาอังกฤษ,"อ้างอิงอังกฤษ, ชื่อสกุล","อ้างอิงฝรั่ง, นามสกุลอังกฤษ",บทที่ 3 หน้า 22
96,การคัดลอกข้อความยาวไม่เกิน 3 บรรทัดต้องทำอย่างไร?,"พิมพ์ต่อไปในเนื้อหาโดยใส่ในเครื่องหมายอัญประกาศ ("" "")","คัดลอกข้อความ, อัญประกาศ","ก๊อปข้อความ, ใส่ฟันหนู",บทที่ 3 หน้า 22
97,การคัดลอกข้อความยาวเกิน 3 บรรทัดต้องทำอย่างไร?,พิมพ์แยกจากเนื้อหา ขึ้นบรรทัดใหม่ ไม่ต้องใส่เครื่องหมายอัญประกาศ,"คัดลอกเกิน 3 บรรทัด, แยกเนื้อหา","ก๊อปข้อความยาว, ไม่ใส่ฟันหนู",บทที่ 3 หน้า 22
98,ถ้าต้องการละข้อความส่วนกลางที่คัดลอกมาต้องทำอย่างไร?,ใส่เครื่องหมายมหัพภาค (.) สามครั้งแทนข้อความที่ละไว้,"ละข้อความ, จุดสามจุด","ตัดข้อความ, ...",บทที่ 3 หน้า 23
99,การอ้างอิงผู้แต่งคนเดียวกันในปีเดียวกันต้องทำอย่างไร?,"ใส่ตัวอักษร ก, ข, ค... กำกับไว้ที่ปีที่พิมพ์","ผู้แต่งคนเดียวกัน, ปีเดียวกัน","แต่งหลายเล่ม, ก ข ค",บทที่ 3 หน้า 24
100,"การพิมพ์คำว่า ""บรรณานุกรม"" ใช้ตัวอักษรขนาดเท่าไหร่?",20 พอยต์ ตัวหนา พิมพ์กลางหน้ากระดาษ,"คำว่าบรรณานุกรม, 20 พอยต์","ขนาดบรรณานุกรม, ตัวหนา",บทที่ 3 หน้า 24
101,การเรียงลำดับบรรณานุกรมภาษาไทยและภาษาอังกฤษทำอย่างไร?,วิทยานิพนธ์ภาษาไทยเรียงภาษาไทยก่อนภาษาอังกฤษ,"เรียงบรรณานุกรม, ภาษาไทยก่อน","เรียงอ้างอิง, เรียงภาษา",บทที่ 3 หน้า 24
102,การพิมพ์บรรณานุกรมบรรทัดที่สองเป็นต้นไปต้องย่อหน้าเท่าไหร่?,1.5 เซนติเมตร (0.59 นิ้ว),"ย่อหน้าบรรณานุกรม, 1.5 ซม","ย่อหน้าอ้างอิง, บรรทัดสอง",บทที่ 3 หน้า 24
103,ถ้าเอกสารมีผู้แต่ง 4 คนขึ้นไป การอ้างอิงในบรรณานุกรมต้องทำอย่างไร?,"ลงชื่อผู้แต่งคนแรก ตามด้วยคำว่า ""และคนอื่นๆ"" หรือ ""และคณะ""","ผู้แต่ง 4 คน, และคณะ","ผู้แต่งหลายคน, และคนอื่นๆ",บทที่ 3 หน้า 25
104,ถ้าเอกสารไม่ปรากฏสำนักพิมพ์หรือสถานที่พิมพ์ให้ระบุคำย่อว่าอะไร?,(ม.ป.ท.) หรือ (n.p.),"ไม่ปรากฏสถานที่พิมพ์, ม.ป.ท.","ไม่มีที่พิมพ์, มปท",บทที่ 3 หน้า 25
105,ถ้าเอกสารไม่ปรากฏปีที่พิมพ์ให้ระบุคำย่อว่าอะไร?,(ม.ป.ป.) หรือ (n.d.),"ไม่ปรากฏปีที่พิมพ์, ม.ป.ป.","ไม่มีปีพิมพ์, มปป",บทที่ 3 หน้า 25
106,การอ้างอิงแบบตัวเลขในเนื้อหาใช้สัญลักษณ์อะไร?,ตัวเลขอารบิคในเครื่องหมายวงเล็บสี่เหลี่ยม [ ],"อ้างอิงตัวเลข, วงเล็บสี่เหลี่ยม","อ้างอิงวงเล็บเหลี่ยม, แบบตัวเลข",บทที่ 3 หน้า 26
